Date,Visitor,G,Home,G,,Att.,LOG,Notes
2023-11-30,Pittsburgh Penguins,4,Tampa Bay Lightning,2,,19092,2:19,
2023-11-30,Seattle Kraken,3,Toronto Maple Leafs,4,SO,18366,2:38,
2023-11-30,Vegas Golden Knights,4,Vancouver Canucks,1,,18856,2:19,
2023-11-30,Edmonton Oilers,3,Winnipeg Jets,1,,13611,2:26,
2023-12-01,Ottawa Senators,2,Columbus Blue Jackets,4,,15552,2:27,
2023-12-01,San Jose Sharks,6,New Jersey Devils,3,,16528,2:30,
2023-12-02,Colorado Avalanche,3,Anaheim Ducks,4,SO,14712,2:45,
2023-12-02,St. Louis Blues,1,Arizona Coyotes,4,,4600,2:35,
2023-12-02,Buffalo Sabres,2,Carolina Hurricanes,6,,18797,2:27,
2023-12-02,Vancouver Canucks,4,Calgary Flames,3,,19079,2:29,
2023-12-02,Tampa Bay Lightning,1,Dallas Stars,8,,18532,2:30,
2023-12-02,New York Islanders,4,Florida Panthers,3,,18721,2:28,
2023-12-02,Detroit Red Wings,5,Montreal Canadiens,4,OT,21105,2:34,
2023-12-02,New York Rangers,4,Nashville Predators,3,,17341,2:34,
2023-12-02,Seattle Kraken,0,Ottawa Senators,2,,18159,2:28,
2023-12-02,Philadelphia Flyers,4,Pittsburgh Penguins,3,SO,18303,2:41,
2023-12-02,Boston Bruins,4,Toronto Maple Leafs,3,OT,18959,2:40,
2023-12-02,Washington Capitals,1,Vegas Golden Knights,4,,18140,2:25,
2023-12-02,Chicago Blackhawks,1,Winnipeg Jets,3,,14189,2:19,
2023-12-03,Columbus Blue Jackets,1,Boston Bruins,3,,17850,2:20,
2023-12-03,Nashville Predators,2,Buffalo Sabres,1,,14644,2:25,
2023-12-03,Colorado Avalanche,1,Los Angeles Kings,4,,18145,2:24,
2023-12-03,Chicago Blackhawks,1,Minnesota Wild,4,,19301,2:21,
2023-12-03,San Jose Sharks,5,New York Rangers,6,,18006,2:31,
2023-12-04,Washington Capitals,0,Arizona Coyotes,6,,4600,2:27,
2023-12-04,Seattle Kraken,2,Montreal Canadiens,4,,20915,2:22,
2023-12-04,Pittsburgh Penguins,1,Philadelphia Flyers,2,OT,18084,2:26,
2023-12-04,Dallas Stars,0,Tampa Bay Lightning,4,,19092,2:19,
2023-12-04,St. Louis Blues,2,Vegas Golden Knights,1,OT,17826,2:26,
2023-12-04,Carolina Hurricanes,1,Winnipeg Jets,2,,11468,2:22,
2023-12-05,Detroit Red Wings,5,Buffalo Sabres,3,,14800,2:28,
2023-12-05,Los Angeles Kings,4,Columbus Blue Jackets,3,OT,15088,2:28,
2023-12-05,Minnesota Wild,5,Calgary Flames,2,,16661,2:33,
2023-12-05,Nashville Predators,4,Chicago Blackhawks,3,SO,16521,2:26,
2023-12-05,Anaheim Ducks,2,Colorado Avalanche,3,,18021,2:28,
2023-12-05,San Jose Sharks,5,New York Islanders,4,OT,14244,2:36,
2023-12-05,New York Rangers,2,Ottawa Senators,6,,17362,2:28,
2023-12-05,New Jersey Devils,6,Vancouver Canucks,5,,18983,2:30,
2023-12-06,Carolina Hurricanes,1,Edmonton Oilers,6,,18347,2:31,
2023-12-06,Dallas Stars,4,Florida Panthers,5,,18376,2:32,
2023-12-06,Vegas Golden Knights,6,St. Louis Blues,3,,18096,2:35,
2023-12-06,Pittsburgh Penguins,1,Tampa Bay Lightning,3,,19092,2:26,
2023-12-07,Philadelphia Flyers,4,Arizona Coyotes,1,,4600,2:19,
2023-12-07,Buffalo Sabres,3,Boston Bruins,1,,17850,2:24,
2023-12-07,Carolina Hurricanes,2,Calgary Flames,3,,16983,2:34,
2023-12-07,Anaheim Ducks,0,Chicago Blackhawks,1,,17424,2:20,
2023-12-07,Winnipeg Jets,4,Colorado Avalanche,2,,18008,2:20,
2023-12-07,San Jose Sharks,6,Detroit Red Wings,5,OT,19515,2:29,
2023-12-07,Los Angeles Kings,4,Montreal Canadiens,0,,21105,2:27,
2023-12-07,Tampa Bay Lightning,1,Nashville Predators,5,,17159,2:28,
2023-12-07,Columbus Blue Jackets,3,New York Islanders,7,,13510,2:29,
2023-12-07,Toronto Maple Leafs,4,Ottawa Senators,3,,19309,2:22,
2023-12-07,New Jersey Devils,2,Seattle Kraken,1,,17151,2:23,
2023-12-07,Minnesota Wild,0,Vancouver Canucks,2,,18667,2:41,
2023-12-07,Dallas Stars,5,Washington Capitals,4,SO,15850,2:38,
2023-12-08,St. Louis Blues,2,Columbus Blue Jackets,5,,15713,2:31,
2023-12-08,Minnesota Wild,3,Edmonton Oilers,4,,18173,2:26,
2023-12-08,Pittsburgh Penguins,1,Florida Panthers,3,,18640,2:18,
2023-12-09,Arizona Coyotes,3,Boston Bruins,5,,17850,2:33,
2023-12-09,Montreal Canadiens,3,Buffalo Sabres,2,SO,17123,2:43,
2023-12-09,New Jersey Devils,4,Calgary Flames,2,,17597,2:25,
2023-12-09,St. Louis Blues,1,Chicago Blackhawks,3,,18892,2:24,
2023-12-09,Philadelphia Flyers,5,Colorado Avalanche,2,,18119,2:27,
2023-12-09,Vegas Golden Knights,6,Dallas Stars,1,,18532,2:17,
2023-12-09,Ottawa Senators,5,Detroit Red Wings,1,,19515,2:45,
2023-12-09,Los Angeles Kings,2,New York Islanders,3,OT,17255,2:36,
2023-12-09,Tampa Bay Lightning,4,Seattle Kraken,3,OT,17151,2:32,
2023-12-09,Nashville Predators,0,Toronto Maple Leafs,4,,18611,2:23,
2023-12-09,Carolina Hurricanes,3,Vancouver Canucks,4,,18586,2:31,
2023-12-09,New York Rangers,0,Washington Capitals,4,,18573,2:29,
2023-12-10,Winnipeg Jets,4,Anaheim Ducks,2,,13626,2:28,
2023-12-10,Florida Panthers,5,Columbus Blue Jackets,2,,16269,2:29,
2023-12-10,Washington Capitals,4,Chicago Blackhawks,2,,18258,2:25,
2023-12-10,New Jersey Devils,1,Edmonton Oilers,4,,18347,2:31,
2023-12-10,Nashville Predators,2,Montreal Canadiens,1,,20864,2:32,
2023-12-10,Los Angeles Kings,1,New York Rangers,4,,18006,2:32,
2023-12-10,Minnesota Wild,3,Seattle Kraken,0,,17151,2:29,
2023-12-10,San Jose Sharks,4,Vegas Golden Knights,5,SO,17849,2:40,
2023-12-11,Arizona Coyotes,2,Buffalo Sabres,5,,14083,2:24,
2023-12-11,Calgary Flames,5,Colorado Avalanche,6,,17967,2:37,
2023-12-11,Detroit Red Wings,3,Dallas Stars,6,,18532,2:28,
2023-12-11,Toronto Maple Leafs,3,New York Islanders,4,OT,17255,2:28,
2023-12-12,Chicago Blackhawks,1,Edmonton Oilers,4,,18347,2:23,
2023-12-12,Philadelphia Flyers,2,Nashville Predators,3,OT,17159,2:27,
2023-12-12,Toronto Maple Leafs,7,New York Rangers,3,,18006,2:26,
2023-12-12,Carolina Hurricanes,4,Ottawa Senators,1,,16877,2:27,
2023-12-12,Arizona Coyotes,2,Pittsburgh Penguins,4,,17068,2:29,
2023-12-12,Florida Panthers,0,Seattle Kraken,4,,17151,2:28,
2023-12-12,Winnipeg Jets,1,San Jose Sharks,2,,13142,2:27,
2023-12-12,Detroit Red Wings,6,St. Louis Blues,4,,18096,2:36,
2023-12-12,Tampa Bay Lightning,1,Vancouver Canucks,4,,18771,2:22,
2023-12-12,Calgary Flames,4,Vegas Golden Knights,5,OT,17814,2:30,
2023-12-13,Buffalo Sabres,1,Colorado Avalanche,5,,18034,2:32,
2023-12-13,Winnipeg Jets,5,Los Angeles Kings,2,,18145,2:23,
2023-12-13,Pittsburgh Penguins,4,Montreal Canadiens,3,SO,21105,2:50,
2023-12-13,Boston Bruins,1,New Jersey Devils,2,OT,16514,2:33,
2023-12-13,Anaheim Ducks,3,New York Islanders,4,,14207,2:34,
2023-12-14,Carolina Hurricanes,2,Detroit Red Wings,1,,19515,2:24,
2023-12-14,Tampa Bay Lightning,7,Edmonton Oilers,4,,18060,2:35,
2023-12-14,Calgary Flames,2,Minnesota Wild,3,SO,18167,2:44,
2023-12-14,Washington Capitals,3,Philadelphia Flyers,4,SO,18557,2:43,
2023-12-14,Chicago Blackhawks,1,Seattle Kraken,7,,17151,2:19,
2023-12-14,Ottawa Senators,2,St. Louis Blues,4,,18096,2:24,
2023-12-14,Columbus Blue Jackets,6,Toronto Maple Leafs,5,OT,18338,2:39,
2023-12-14,Florida Panthers,0,Vancouver Canucks,4,,18873,2:19,
2023-12-15,San Jose Sharks,0,Arizona Coyotes,1,,4600,2:33,
2023-12-15,Nashville Predators,6,Carolina Hurricanes,5,OT,18770,2:32,
2023-12-15,Ottawa Senators,4,Dallas Stars,5,,18532,2:32,
2023-12-15,Boston Bruins,5,New York Islanders,4,SO,17255,2:54,
2023-12-15,Anaheim Ducks,1,New York Rangers,5,,18006,2:34,
2023-12-15,Buffalo Sabres,5,Vegas Golden Knights,2,,18008,2:27,
2023-12-16,Buffalo Sabres,0,Arizona Coyotes,2,,4600,2:11,
2023-12-16,New York Rangers,2,Boston Bruins,1,OT,17850,2:35,
2023-12-16,New Jersey Devils,6,Columbus Blue Jackets,3,,18172,2:24,
2023-12-16,Tampa Bay Lightning,2,Calgary Flames,4,,16801,2:27,
2023-12-16,Florida Panthers,5,Edmonton Oilers,1,,18347,2:34,
2023-12-16,Vancouver Canucks,1,Minnesota Wild,2,SO,18519,2:39,
2023-12-16,New York Islanders,3,Montreal Canadiens,5,,21105,2:23,
2023-12-16,Washington Capitals,1,Nashville Predators,3,,17267,2:20,
2023-12-16,Detroit Red Wings,0,Philadelphia Flyers,1,,18341,2:31,
2023-12-16,Los Angeles Kings,3,Seattle Kraken,2,SO,17151,2:42,
2023-12-16,Dallas Stars,3,St. Louis Blues,4,OT,18096,2:32,
2023-12-16,Pittsburgh Penguins,0,Toronto Maple Leafs,7,,18921,2:30,
2023-12-16,Colorado Avalanche,2,Winnipeg Jets,6,,13515,2:20,
2023-12-17,Washington Capitals,2,Carolina Hurricanes,1,SO,18700,2:44,
2023-12-17,Vancouver Canucks,4,Chicago Blackhawks,3,,19302,2:19,
2023-12-17,San Jose Sharks,2,Colorado Avalanche,6,,18093,2:29,
2023-12-17,Anaheim Ducks,5,New Jersey Devils,1,,16514,2:25,
2023-12-17,Ottawa Senators,3,Vegas Golden Knights,6,,17892,2:30,
2023-12-18,Florida Panthers,1,Calgary Flames,3,,16813,2:27,
2023-12-18,Seattle Kraken,3,Dallas Stars,4,OT,18532,2:32,
2023-12-18,Anaheim Ducks,4,Detroit Red Wings,3,,19515,2:33,
2023-12-18,Minnesota Wild,3,Pittsburgh Penguins,4,,18200,2:32,
2023-12-18,Montreal Canadiens,3,Winnipeg Jets,2,OT,13363,2:29,
2023-12-19,Ottawa Senators,3,Arizona Coyotes,4,,4600,2:30,
2023-12-19,Minnesota Wild,4,Boston Bruins,3,OT,17850,2:36,
2023-12-19,Columbus Blue Jackets,9,Buffalo Sabres,4,,14888,2:25,
2023-12-19,Vegas Golden Knights,3,Carolina Hurricanes,6,,18848,2:32,
2023-12-19,Colorado Avalanche,2,Chicago Blackhawks,3,,19719,2:24,
2023-12-19,Philadelphia Flyers,3,New Jersey Devils,2,OT,16514,2:26,
2023-12-19,Vancouver Canucks,5,Nashville Predators,2,,17159,2:22,
2023-12-19,Edmonton Oilers,1,New York Islanders,3,,16523,2:17,
2023-12-19,Los Angeles Kings,4,San Jose Sharks,1,,11593,2:23,
2023-12-19,St. Louis Blues,1,Tampa Bay Lightning,6,,19092,2:22,
2023-12-19,New York Rangers,5,Toronto Maple Leafs,2,,19264,2:22,
2023-12-20,Seattle Kraken,2,Los Angeles Kings,1,,18145,2:28,
2023-12-20,Detroit Red Wings,2,Winnipeg Jets,5,,12571,2:26,
2023-12-20,New York Islanders,2,Washington Capitals,3,OT,18573,2:24,
2023-12-21,Calgary Flames,3,Anaheim Ducks,0,,16102,2:25,
2023-12-21,Toronto Maple Leafs,3,Buffalo Sabres,9,,19070,2:22,
2023-12-21,Washington Capitals,3,Columbus Blue Jackets,2,OT,18172,2:32,
2023-12-21,Ottawa Senators,4,Colorado Avalanche,6,,18107,2:39,
2023-12-21,Vancouver Canucks,3,Dallas Stars,4,OT,18532,2:32,
2023-12-21,St. Louis Blues,4,Florida Panthers,1,,18753,2:29,
2023-12-21,Montreal Canadiens,3,Minnesota Wild,4,OT,18387,2:38,
2023-12-21,Edmonton Oilers,6,New Jersey Devils,3,,16514,2:26,
2023-12-21,Nashville Predators,4,Philadelphia Flyers,2,,19313,2:33,
2023-12-21,Carolina Hurricanes,1,Pittsburgh Penguins,2,SO,18267,2:37,
2023-12-21,Arizona Coyotes,5,San Jose Sharks,2,,17435,2:26,
2023-12-21,Vegas Golden Knights,4,Tampa Bay Lightning,5,,19092,2:35,
2023-12-22,Montreal Canadiens,5,Chicago Blackhawks,2,,20340,2:25,
2023-12-22,Philadelphia Flyers,6,Detroit Red Wings,7,SO,19515,2:50,
2023-12-22,Edmonton Oilers,4,New York Rangers,3,,18006,2:29,
2023-12-22,Boston Bruins,1,Winnipeg Jets,5,,14405,2:34,
2023-12-23,Seattle Kraken,3,Anaheim Ducks,2,,14608,2:28,
2023-12-23,New York Islanders,5,Carolina Hurricanes,4,,18921,2:31,
2023-12-23,Toronto Maple Leafs,4,Columbus Blue Jackets,1,,17806,2:24,
2023-12-23,Arizona Coyotes,1,Colorado Avalanche,4,,18117,2:21,
2023-12-23,Vegas Golden Knights,2,Florida Panthers,4,,19364,2:37,
2023-12-23,Calgary Flames,3,Los Angeles Kings,5,,18145,2:35,
2023-12-23,Boston Bruins,2,Minnesota Wild,3,,19183,2:33,
2023-12-23,Detroit Red Wings,2,New Jersey Devils,3,,16514,2:31,
2023-12-23,Dallas Stars,3,Nashville Predators,2,,17159,2:28,
2023-12-23,Buffalo Sabres,3,New York Rangers,4,OT,18006,2:36,
2023-12-23,Pittsburgh Penguins,4,Ottawa Senators,5,OT,19286,2:34,
2023-12-23,Chicago Blackhawks,5,St. Louis Blues,7,,18096,2:27,
2023-12-23,San Jose Sharks,4,Vancouver Canucks,7,,18875,2:32,
2023-12-23,Tampa Bay Lightning,2,Washington Capitals,1,SO,18573,2:37,
2023-12-27,Vegas Golden Knights,,Anaheim Ducks,,,,,
2023-12-27,Colorado Avalanche,,Arizona Coyotes,,,,,
2023-12-27,Boston Bruins,,Buffalo Sabres,,,,,
2023-12-27,Seattle Kraken,,Calgary Flames,,,,,
2023-12-27,Winnipeg Jets,,Chicago Blackhawks,,,,,
2023-12-27,San Jose Sharks,,Los Angeles Kings,,,,,
2023-12-27,Detroit Red Wings,,Minnesota Wild,,,,,
2023-12-27,Columbus Blue Jackets,,New Jersey Devils,,,,,
2023-12-27,Carolina Hurricanes,,Nashville Predators,,,,,
2023-12-27,Pittsburgh Penguins,,New York Islanders,,,,,
2023-12-27,Washington Capitals,,New York Rangers,,,,,
2023-12-27,Dallas Stars,,St. Louis Blues,,,,,
2023-12-27,Florida Panthers,,Tampa Bay Lightning,,,,,
2023-12-27,Ottawa Senators,,Toronto Maple Leafs,,,,,
2023-12-28,Montreal Canadiens,,Carolina Hurricanes,,,,,
2023-12-28,Edmonton Oilers,,San Jose Sharks,,,,,
2023-12-28,Philadelphia Flyers,,Vancouver Canucks,,,,,
2023-12-28,Los Angeles Kings,,Vegas Golden Knights,,,,,
2023-12-29,Arizona Coyotes,,Anaheim Ducks,,,,,
2023-12-29,Toronto Maple Leafs,,Columbus Blue Jackets,,,,,
2023-12-29,Chicago Blackhawks,,Dallas Stars,,,,,
2023-12-29,Nashville Predators,,Detroit Red Wings,,,,,
2023-12-29,New York Rangers,,Florida Panthers,,,,,
2023-12-29,Washington Capitals,,New York Islanders,,,,,
2023-12-29,New Jersey Devils,,Ottawa Senators,,,,,
2023-12-29,Philadelphia Flyers,,Seattle Kraken,,,,,
2023-12-29,Colorado Avalanche,,St. Louis Blues,,,,,
2023-12-30,New Jersey Devils,,Boston Bruins,,,,,
2023-12-30,Columbus Blue Jackets,,Buffalo Sabres,,,,,
2023-12-30,Montreal Canadiens,,Florida Panthers,,,,,
2023-12-30,Edmonton Oilers,,Los Angeles Kings,,,,,
2023-12-30,St. Louis Blues,,Pittsburgh Penguins,,,,,
2023-12-30,New York Rangers,,Tampa Bay Lightning,,,,,
2023-12-30,Carolina Hurricanes,,Toronto Maple Leafs,,,,,
2023-12-30,Minnesota Wild,,Winnipeg Jets,,,,,
2023-12-30,Nashville Predators,,Washington Capitals,,,,,
2023-12-31,Edmonton Oilers,,Anaheim Ducks,,,,,
2023-12-31,Philadelphia Flyers,,Calgary Flames,,,,,
2023-12-31,San Jose Sharks,,Colorado Avalanche,,,,,
2023-12-31,Chicago Blackhawks,,Dallas Stars,,,,,
2023-12-31,Boston Bruins,,Detroit Red Wings,,,,,
2023-12-31,Winnipeg Jets,,Minnesota Wild,,,,,
2023-12-31,Buffalo Sabres,,Ottawa Senators,,,,,
2023-12-31,New York Islanders,,Pittsburgh Penguins,,,,,
2023-12-31,Montreal Canadiens,,Tampa Bay Lightning,,,,,
2024-01-01,Vegas Golden Knights,,Seattle Kraken,,,,,at T-Mobile Park (Seattle WA)
2024-01-02,Florida Panthers,,Arizona Coyotes,,,,,
2024-01-02,Boston Bruins,,Columbus Blue Jackets,,,,,
2024-01-02,New York Islanders,,Colorado Avalanche,,,,,
2024-01-02,Montreal Canadiens,,Dallas Stars,,,,,
2024-01-02,Philadelphia Flyers,,Edmonton Oilers,,,,,
2024-01-02,Toronto Maple Leafs,,Los Angeles Kings,,,,,
2024-01-02,Calgary Flames,,Minnesota Wild,,,,,
2024-01-02,Chicago Blackhawks,,Nashville Predators,,,,,
2024-01-02,Carolina Hurricanes,,New York Rangers,,,,,
2024-01-02,Washington Capitals,,Pittsburgh Penguins,,,,,
2024-01-02,Detroit Red Wings,,San Jose Sharks,,,,,
2024-01-02,Ottawa Senators,,Vancouver Canucks,,,,,
2024-01-02,Tampa Bay Lightning,,Winnipeg Jets,,,,,
2024-01-03,Toronto Maple Leafs,,Anaheim Ducks,,,,,
2024-01-03,New Jersey Devils,,Washington Capitals,,,,,
2024-01-04,New York Islanders,,Arizona Coyotes,,,,,
2024-01-04,Pittsburgh Penguins,,Boston Bruins,,,,,
2024-01-04,Colorado Avalanche,,Dallas Stars,,,,,
2024-01-04,Detroit Red Wings,,Los Angeles Kings,,,,,
2024-01-04,Tampa Bay Lightning,,Minnesota Wild,,,,,
2024-01-04,Buffalo Sabres,,Montreal Canadiens,,,,,
2024-01-04,Calgary Flames,,Nashville Predators,,,,,
2024-01-04,Chicago Blackhawks,,New York Rangers,,,,,
2024-01-04,Columbus Blue Jackets,,Philadelphia Flyers,,,,,
2024-01-04,Ottawa Senators,,Seattle Kraken,,,,,
2024-01-04,Winnipeg Jets,,San Jose Sharks,,,,,
2024-01-04,Vancouver Canucks,,St. Louis Blues,,,,,
2024-01-04,Florida Panthers,,Vegas Golden Knights,,,,,
2024-01-05,Winnipeg Jets,,Anaheim Ducks,,,,,
2024-01-05,Chicago Blackhawks,,New Jersey Devils,,,,,
2024-01-05,Carolina Hurricanes,,Washington Capitals,,,,,
2024-01-06,Tampa Bay Lightning,,Boston Bruins,,,,,
2024-01-06,St. Louis Blues,,Carolina Hurricanes,,,,,
2024-01-06,Minnesota Wild,,Columbus Blue Jackets,,,,,
2024-01-06,Florida Panthers,,Colorado Avalanche,,,,,
2024-01-06,Nashville Predators,,Dallas Stars,,,,,
2024-01-06,Ottawa Senators,,Edmonton Oilers,,,,,
2024-01-06,New York Rangers,,Montreal Canadiens,,,,,
2024-01-06,Vancouver Canucks,,New Jersey Devils,,,,,
2024-01-06,Calgary Flames,,Philadelphia Flyers,,,,,
2024-01-06,Buffalo Sabres,,Pittsburgh Penguins,,,,,
2024-01-06,Toronto Maple Leafs,,San Jose Sharks,,,,,
2024-01-06,New York Islanders,,Vegas Golden Knights,,,,,
2024-01-07,Detroit Red Wings,,Anaheim Ducks,,,,,
2024-01-07,Winnipeg Jets,,Arizona Coyotes,,,,,
2024-01-07,Calgary Flames,,Chicago Blackhawks,,,,,
2024-01-07,Los Angeles Kings,,Washington Capitals,,,,,
2024-01-08,Boston Bruins,,Colorado Avalanche,,,,,
2024-01-08,Dallas Stars,,Minnesota Wild,,,,,
2024-01-08,Vancouver Canucks,,New York Rangers,,,,,
2024-01-08,Pittsburgh Penguins,,Philadelphia Flyers,,,,,
2024-01-09,Boston Bruins,,Arizona Coyotes,,,,,
2024-01-09,Seattle Kraken,,Buffalo Sabres,,,,,
2024-01-09,Ottawa Senators,,Calgary Flames,,,,,
2024-01-09,Edmonton Oilers,,Chicago Blackhawks,,,,,
2024-01-09,Anaheim Ducks,,Nashville Predators,,,,,
2024-01-09,Vancouver Canucks,,New York Islanders,,,,,
2024-01-09,Florida Panthers,,St. Louis Blues,,,,,
2024-01-09,Los Angeles Kings,,Tampa Bay Lightning,,,,,
2024-01-09,San Jose Sharks,,Toronto Maple Leafs,,,,,
2024-01-09,Columbus Blue Jackets,,Winnipeg Jets,,,,,
2024-01-10,Vegas Golden Knights,,Colorado Avalanche,,,,,
2024-01-10,Minnesota Wild,,Dallas Stars,,,,,
2024-01-10,Montreal Canadiens,,Philadelphia Flyers,,,,,
2024-01-11,Calgary Flames,,Arizona Coyotes,,,,,
2024-01-11,Ottawa Senators,,Buffalo Sabres,,,,,
2024-01-11,Anaheim Ducks,,Carolina Hurricanes,,,,,
2024-01-11,Edmonton Oilers,,Detroit Red Wings,,,,,
2024-01-11,Los Angeles Kings,,Florida Panthers,,,,,
2024-01-11,San Jose Sharks,,Montreal Canadiens,,,,,
2024-01-11,Toronto Maple Leafs,,New York Islanders,,,,,
2024-01-11,Vancouver Canucks,,Pittsburgh Penguins,,,,,
2024-01-11,New York Rangers,,St. Louis Blues,,,,,
2024-01-11,New Jersey Devils,,Tampa Bay Lightning,,,,,
2024-01-11,Boston Bruins,,Vegas Golden Knights,,,,,
2024-01-11,Chicago Blackhawks,,Winnipeg Jets,,,,,
2024-01-11,Seattle Kraken,,Washington Capitals,,,,,
2024-01-12,Nashville Predators,,Dallas Stars,,,,,
2024-01-12,Philadelphia Flyers,,Minnesota Wild,,,,,
2024-01-13,Vancouver Canucks,,Buffalo Sabres,,,,,
2024-01-13,Pittsburgh Penguins,,Carolina Hurricanes,,,,,
2024-01-13,Seattle Kraken,,Columbus Blue Jackets,,,,,
2024-01-13,Dallas Stars,,Chicago Blackhawks,,,,,
2024-01-13,Los Angeles Kings,,Detroit Red Wings,,,,,
2024-01-13,New Jersey Devils,,Florida Panthers,,,,,
2024-01-13,Arizona Coyotes,,Minnesota Wild,,,,,
2024-01-13,Edmonton Oilers,,Montreal Canadiens,,,,,
2024-01-13,New York Islanders,,Nashville Predators,,,,,
2024-01-13,San Jose Sharks,,Ottawa Senators,,,,,
2024-01-13,Boston Bruins,,St. Louis Blues,,,,,
2024-01-13,Anaheim Ducks,,Tampa Bay Lightning,,,,,
2024-01-13,Colorado Avalanche,,Toronto Maple Leafs,,,,,
2024-01-13,Calgary Flames,,Vegas Golden Knights,,,,,
2024-01-13,Philadelphia Flyers,,Winnipeg Jets,,,,,
2024-01-13,New York Rangers,,Washington Capitals,,,,,
2024-01-14,Washington Capitals,,New York Rangers,,,,,
2024-01-14,Detroit Red Wings,,Toronto Maple Leafs,,,,,
2024-01-15,New Jersey Devils,,Boston Bruins,,,,,
2024-01-15,San Jose Sharks,,Buffalo Sabres,,,,,
2024-01-15,Los Angeles Kings,,Carolina Hurricanes,,,,,
2024-01-15,Vancouver Canucks,,Columbus Blue Jackets,,,,,
2024-01-15,Anaheim Ducks,,Florida Panthers,,,,,
2024-01-15,New York Islanders,,Minnesota Wild,,,,,
2024-01-15,Colorado Avalanche,,Montreal Canadiens,,,,,
2024-01-15,Seattle Kraken,,Pittsburgh Penguins,,,,,
2024-01-15,Philadelphia Flyers,,St. Louis Blues,,,,,
2024-01-15,Nashville Predators,,Vegas Golden Knights,,,,,
2024-01-16,Arizona Coyotes,,Calgary Flames,,,,,
2024-01-16,San Jose Sharks,,Chicago Blackhawks,,,,,
2024-01-16,Los Angeles Kings,,Dallas Stars,,,,,
2024-01-16,Toronto Maple Leafs,,Edmonton Oilers,,,,,
2024-01-16,Seattle Kraken,,New York Rangers,,,,,
2024-01-16,Colorado Avalanche,,Ottawa Senators,,,,,
2024-01-16,New York Islanders,,Winnipeg Jets,,,,,
2024-01-16,Anaheim Ducks,,Washington Capitals,,,,,
2024-01-17,Chicago Blackhawks,,Buffalo Sabres,,,,,
2024-01-17,Detroit Red Wings,,Florida Panthers,,,,,
2024-01-17,Montreal Canadiens,,New Jersey Devils,,,,,
2024-01-18,Colorado Avalanche,,Boston Bruins,,,,,
2024-01-18,Toronto Maple Leafs,,Calgary Flames,,,,,
2024-01-18,Seattle Kraken,,Edmonton Oilers,,,,,
2024-01-18,Nashville Predators,,Los Angeles Kings,,,,,
2024-01-18,Montreal Canadiens,,Ottawa Senators,,,,,
2024-01-18,Dallas Stars,,Philadelphia Flyers,,,,,
2024-01-18,Minnesota Wild,,Tampa Bay Lightning,,,,,
2024-01-18,Arizona Coyotes,,Vancouver Canucks,,,,,
2024-01-18,New York Rangers,,Vegas Golden Knights,,,,,
2024-01-18,St. Louis Blues,,Washington Capitals,,,,,
2024-01-19,Detroit Red Wings,,Carolina Hurricanes,,,,,
2024-01-19,New Jersey Devils,,Columbus Blue Jackets,,,,,
2024-01-19,New York Islanders,,Chicago Blackhawks,,,,,
2024-01-19,Minnesota Wild,,Florida Panthers,,,,,
2024-01-20,Nashville Predators,,Arizona Coyotes,,,,,
2024-01-20,Montreal Canadiens,,Boston Bruins,,,,,
2024-01-20,Tampa Bay Lightning,,Buffalo Sabres,,,,,
2024-01-20,Edmonton Oilers,,Calgary Flames,,,,,
2024-01-20,New York Rangers,,Los Angeles Kings,,,,,
2024-01-20,Dallas Stars,,New Jersey Devils,,,,,
2024-01-20,Winnipeg Jets,,Ottawa Senators,,,,,
2024-01-20,Colorado Avalanche,,Philadelphia Flyers,,,,,
2024-01-20,Anaheim Ducks,,San Jose Sharks,,,,,
2024-01-20,Washington Capitals,,St. Louis Blues,,,,,
2024-01-20,Toronto Maple Leafs,,Vancouver Canucks,,,,,
2024-01-20,Pittsburgh Penguins,,Vegas Golden Knights,,,,,
2024-01-21,New York Rangers,,Anaheim Ducks,,,,,
2024-01-21,Minnesota Wild,,Carolina Hurricanes,,,,,
2024-01-21,Tampa Bay Lightning,,Detroit Red Wings,,,,,
2024-01-21,Dallas Stars,,New York Islanders,,,,,
2024-01-21,Ottawa Senators,,Philadelphia Flyers,,,,,
2024-01-21,Toronto Maple Leafs,,Seattle Kraken,,,,,
2024-01-22,Pittsburgh Penguins,,Arizona Coyotes,,,,,
2024-01-22,Winnipeg Jets,,Boston Bruins,,,,,
2024-01-22,San Jose Sharks,,Los Angeles Kings,,,,,
2024-01-22,Vegas Golden Knights,,New Jersey Devils,,,,,
2024-01-22,Florida Panthers,,Nashville Predators,,,,,
2024-01-22,Chicago Blackhawks,,Vancouver Canucks,,,,,
2024-01-23,Buffalo Sabres,,Anaheim Ducks,,,,,
2024-01-23,St. Louis Blues,,Calgary Flames,,,,,
2024-01-23,Dallas Stars,,Detroit Red Wings,,,,,
2024-01-23,Columbus Blue Jackets,,Edmonton Oilers,,,,,
2024-01-23,Washington Capitals,,Minnesota Wild,,,,,
2024-01-23,Ottawa Senators,,Montreal Canadiens,,,,,
2024-01-23,Vegas Golden Knights,,New York Islanders,,,,,
2024-01-23,Tampa Bay Lightning,,Philadelphia Flyers,,,,,
2024-01-23,New York Rangers,,San Jose Sharks,,,,,
2024-01-24,Carolina Hurricanes,,Boston Bruins,,,,,
2024-01-24,Washington Capitals,,Colorado Avalanche,,,,,
